ÐòºÅ,self_density
275,0.038694782
276,0.038697405
277,0.038700853
278,0.038709831
279,0.038797942
280,0.038849593
281,0.038872353
282,0.038909445
283,0.038930001
284,0.03894372
285,0.038960522
286,0.03899124
287,0.039011396
288,0.039037578
289,0.039050591
290,0.039091236
291,0.039094443
292,0.039109619
293,0.039113052
294,0.039142051
295,0.039174972
296,0.039218587
297,0.039283916
298,0.03932578
299,0.039374917
300,0.039409371
301,0.0394101
302,0.0394284
303,0.039450119
304,0.039454879
305,0.039544028
306,0.039558131
307,0.039581187
308,0.039586025
309,0.039663182
310,0.039671265
311,0.0396844
312,0.039718113
313,0.039740553
314,0.03975164
315,0.039769142
316,0.039793495
317,0.039811079
318,0.039829026
319,0.039837153
320,0.039843822
321,0.039879875
322,0.039883716
323,0.039914119
324,0.039954763
325,0.039961695
326,0.039980935
327,0.039986496
328,0.040069997
329,0.040134673
330,0.040165782
331,0.040196321
332,0.040198859
333,0.040211703
334,0.040281386
335,0.040284711
336,0.040289585
337,0.040353341
338,0.040414225
339,0.040422851
340,0.040428285
341,0.040520115
342,0.040537022
343,0.040541464
344,0.040550146
345,0.040573533
346,0.040622378
347,0.040625035
348,0.040631331
349,0.040638726
350,0.040639646
351,0.040669156
352,0.04067697
353,0.040728729
354,0.040741374
355,0.040806447
356,0.040846758
357,0.04092179
358,0.040960888
359,0.041097134
360,0.041127194
361,0.041134567
362,0.041141835
363,0.041170827
364,0.041186181
365,0.041267967
366,0.041296033
367,0.041304744
368,0.041309135
369,0.041330453
370,0.041377497
371,0.041384276
372,0.04144575
373,0.041488441
374,0.041496912
375,0.041517484
376,0.041525203
377,0.041609038
378,0.041659472
379,0.04166608
380,0.041689347
381,0.041698614
382,0.041749543
383,0.041771063
384,0.041870787
385,0.041874357
386,0.041897119
387,0.041926587
388,0.041949689
389,0.041984533
390,0.041990604
391,0.042064518
392,0.042099033
393,0.042174643
394,0.042227108
395,0.042276285
396,0.042282079
397,0.04229343
398,0.042307333
399,0.042312153
400,0.042340059
401,0.042343737
402,0.042346802
403,0.042377715
404,0.042385285
405,0.042392332
406,0.042452834
407,0.042459045
408,0.042508541
409,0.042533861
410,0.042574731
411,0.042615487
412,0.042620223
413,0.042674105
414,0.042710745
415,0.042722841
416,0.042743388
417,0.042773108
418,0.042783846
419,0.042783922
420,0.042809579
421,0.042814762
422,0.042819659
423,0.042844207
424,0.04285876
425,0.042899259
426,0.042905087
427,0.042913062
428,0.042922909
429,0.042935585
430,0.042979058
431,0.043016256
432,0.043050978
433,0.04305856
434,0.043174264
435,0.043205134
436,0.043209731
437,0.04329392
438,0.043325607
439,0.043333141
440,0.043340467
441,0.043349556
442,0.043350408
443,0.043361815
444,0.043363105
445,0.043394704
446,0.043442462
447,0.04346027
448,0.043460788
449,0.043503631
450,0.043516918
451,0.043551669
452,0.043564266
453,0.043565344
454,0.043575109
455,0.043718552
456,0.043745111
457,0.04391867
458,0.043930828
459,0.043937028
460,0.04395497
461,0.043985799
462,0.044006418
463,0.044075745
464,0.044117236
465,0.044139882
466,0.044148861
467,0.044171836
468,0.044228701
469,0.044269798
470,0.044328296
471,0.044363227
472,0.044423092
473,0.044443804
474,0.0445072
475,0.044509189
476,0.044539883
477,0.044556686
478,0.044582076
479,0.044598367
