ÐòºÅ,self_density,log10_self_sp
418,0.042771586,-1.368844649
419,0.042794852,-1.368608467
420,0.042803828,-1.368517394
421,0.042825369,-1.368298885
422,0.042838483,-1.368165913
423,0.042846801,-1.368081594
424,0.042848957,-1.368059744
425,0.042880648,-1.367738658
426,0.042908141,-1.3674603
427,0.042914359,-1.367397374
428,0.042921086,-1.367329297
429,0.042940996,-1.367127882
430,0.042956861,-1.366967462
431,0.043031571,-1.366212802
432,0.043049346,-1.366033442
433,0.043054435,-1.365982104
434,0.043151754,-1.365001545
435,0.043192696,-1.364589689
436,0.043195733,-1.364559147
437,0.043279244,-1.363720333
438,0.043309246,-1.36341938
439,0.043320517,-1.363306366
440,0.043334536,-1.36316585
441,0.043334747,-1.36316373
442,0.043343981,-1.363071199
443,0.0433549,-1.362961815
444,0.043392431,-1.362586019
445,0.043403529,-1.362474958
446,0.043453742,-1.361972814
447,0.043474182,-1.361768576
448,0.043489921,-1.361611378
449,0.043498619,-1.361524527
450,0.043524466,-1.361266553
451,0.043540537,-1.361106223
452,0.043542093,-1.361090699
453,0.043556418,-1.360947847
454,0.043615261,-1.360361521
455,0.043718544,-1.359334312
456,0.043724071,-1.35927941
457,0.043896311,-1.357571975
458,0.043915134,-1.357385791
459,0.043915236,-1.357384774
460,0.043942084,-1.357119353
461,0.04398001,-1.356744678
462,0.04398492,-1.356696197
463,0.044087541,-1.355684126
464,0.044120235,-1.355362184
465,0.044136887,-1.355198301
466,0.044152164,-1.355048002
467,0.044188229,-1.354693401
468,0.044241057,-1.35417451
469,0.04424596,-1.354126375
470,0.044358852,-1.353019705
471,0.044384217,-1.352771438
472,0.044419906,-1.352422368
473,0.04446251,-1.352006026
474,0.044512368,-1.351519297
475,0.044522458,-1.351420871
476,0.044539855,-1.351251203
477,0.044547973,-1.351172048
478,0.044569418,-1.350963036
479,0.044584157,-1.350819439
480,0.044589432,-1.350768061
481,0.044652834,-1.350150975
482,0.044692516,-1.349765196
483,0.044736135,-1.34934154
484,0.044745457,-1.349251048
485,0.044755206,-1.349156437
486,0.04477602,-1.348954508
487,0.044777339,-1.348941718
488,0.044787433,-1.348843832
489,0.044800126,-1.348720765
490,0.044815417,-1.348572561
491,0.044822228,-1.348506562
492,0.044828482,-1.348445964
493,0.044968583,-1.347090801
494,0.044973879,-1.347039651
495,0.044980968,-1.346971201
496,0.045081551,-1.346001153
497,0.045086066,-1.34595766
498,0.04512739,-1.345559781
499,0.045155501,-1.345289333
500,0.045157609,-1.345269066
501,0.045172575,-1.345125149
502,0.045183357,-1.345021507
503,0.045209008,-1.344775027
504,0.045233923,-1.344535748
505,0.045284644,-1.344049044
506,0.045289617,-1.344001356
507,0.045319968,-1.343710401
508,0.045323104,-1.343680358
509,0.045325445,-1.343657925
510,0.045354736,-1.343377357
511,0.0453677,-1.343253234
512,0.045371144,-1.343220267
513,0.045424455,-1.342710271
514,0.045441741,-1.342545039
515,0.045510468,-1.341888694
516,0.045551612,-1.341496248
517,0.045556296,-1.341451594
518,0.04555638,-1.341450789
519,0.04556126,-1.341404273
520,0.045573728,-1.341285442
521,0.04559288,-1.341102972
522,0.04562895,-1.340759527
523,0.045629278,-1.340756404
524,0.04563875,-1.340666262
525,0.045699884,-1.340084905
526,0.045718006,-1.339912721
527,0.045765087,-1.339465712
528,0.045797006,-1.339162918
529,0.045824292,-1.338904237
530,0.045829413,-1.338855703
531,0.045851246,-1.338648862
532,0.045865936,-1.338509735
533,0.045872691,-1.338445778
534,0.045881866,-1.338358924
535,0.045913794,-1.338056819
536,0.045934703,-1.337859087
537,0.045937844,-1.337829389
538,0.045956854,-1.337649713
539,0.046038683,-1.336877111
540,0.04605497,-1.336723497
541,0.046076307,-1.336522339
542,0.046134321,-1.335975863
543,0.046187899,-1.33547179
544,0.046189303,-1.33545859
545,0.046222319,-1.335148272
546,0.046234497,-1.335033865
547,0.046250976,-1.334879094
548,0.046286256,-1.334547946
549,0.046339198,-1.334051491
550,0.046339666,-1.334047098
551,0.046351392,-1.333937217
552,0.046444421,-1.333066443
553,0.046476392,-1.332767591
554,0.046488236,-1.332656935
555,0.046512285,-1.332432329
556,0.04651427,-1.332413786
557,0.046556586,-1.332018874
