Lon,Lat,Value,Name
102.82,26.67,8.65,SHQX_Zhou
102.84,26.52,8.44,SHTC_Zhou
102.76,26.81,10.67,SHXJ_Zhou
102.72,27.08,9.79,SNPS_Zhou
102.78,26.88,8.67,SNXY_Zhou
103.18,26,7.78,YDAW_Zhou
103.03,26.38,7.82,YDTB_Zhou
102.91,26.3,7.71,YDYM_Zhou
103.27,26.19,7.7,YHCS_Zhou
103.23,26.33,7.42,YHDH_Zhou
103.33,26.65,7.15,YHDQ_Zhou
103.39,26,8.58,YHJC_Zhou
103.18,26.51,7.83,YHNG_Zhou
103.4,26.31,7.61,YHXJ_Zhou
102.92,27,8.18,YQBH_Zhou
102.99,26.78,7.56,YQJT_Zhou
103.05,25.73,6.75,YXDS_Zhou
103.18,25.73,7.35,YXGM_Zhou
103.46,25.83,5.86,YXGY_Zhou
103.48,25.68,6.04,YXHK_Zhou
103.01,26,7.68,YXLH_Zhou
103.41,25.5,6.92,YXQX_Zhou
103,25.47,6.62,YXXF_Zhou
102.6,28.19,10.391,BJIU_XR23
102.08,28.33,10.973,HELI_XR23
102.35,28.33,11.228,LAKE_XR23
103.21,28.13,8.882,LIUH_XR23
101.61,28.32,13.874,LOBO_XR23
102.22,28.13,12.687,LUJI_XR23
102.49,28.04,9.986,LUOH_XR23
102.06,28.08,11.925,MINS_XR23
102.15,28.11,11.714,NLEC_XR23
103.05,28.3,9.173,SIGQ_XR23
102.9,28.07,9.494,ZHUH_XR23
102.27,28.3,8.893,AN12_XR23
102.85,28.24,9.526,AN30_XR23
102.73,28.21,10.634,AN31_XR23
102.51,28.14,10.317,AN32_XR23
102.87,29.29,7.459,CP11_XR19
104.17,28.73,5.042,SP02_XR19
103.69,28.56,7.157,SP05_XR19
103.21,28.4,6.403,SP09_XR19
100.51,29.73,15.32,SR01_XR19
100.41,29.04,12.811,SR02_XR19
102.74,28.42,9.173,SR07_XR19
103.11,28.55,8.454,SR08_XR19
101.31,27.59,12.029,Y319_XR19
102.21,28.886,12.195,AN03_Liyh
102.2,28.749,11.618,AN05_Liyh
102.177,28.599,12.001,AN07_Liyh
102.227,28.509,12.486,AN10_Liyh
101.997,28.054,13.14,AN17_Liyh
103.09,30.064,7.381,2033_Liyh
102.222,29.83,8.419,2057_Liyh
103.97,29.215,6.719,2186_Liyh
103.942,28.841,6.338,2199_Liyh
101.827,26.187,8.088,2200_Liyh
102.198,27.084,10.19,2565_Liyh
102.072,26.419,8.561,2566_Liyh
103.234,29.78,6.811,2569_Liyh
101.245,25.476,5.701,4603_Liyh
102.446,26.152,8.938,4664_Liyh
103.058,27.381,8.132,4696_Liyh
103.587,27.791,8.045,4718_Liyh
103.585,27.021,7.66,4719_Liyh
103.769,27.58,9.093,4726_Liyh
103.855,28.655,8.82,4732_Liyh
103.858,26.469,7.57,4733_Liyh
103.914,25.67,8.524,4737_Liyh
103.905,27.072,8.904,4739_Liyh
103.931,28.326,8.142,4740_Liyh
104.047,25.973,8.227,4743_Liyh
104.318,28.101,8.432,4755_Liyh
104.615,25.818,7.858,4775_Liyh
104.607,26.719,6.899,4778_Liyh
